lambda_593,SRGECO_580_593
341,0
341.2,0
341.4,0
341.6,0
341.8,0
342,0
342.2,0
342.4,0
342.6,0
342.8,0
343,0
343.2,0
343.4,0
343.6,0
343.8,0
344,0
344.2,0
344.4,0
344.6,0
344.8,0
345,0
345.2,0
345.4,0
345.6,0
345.8,0
346,0
346.2,0
346.4,0
346.6,0
346.8,0
347,0
347.2,0
347.4,0
347.6,0
347.8,0
348,0
348.2,0
348.4,0
348.6,0
348.8,0
349,0
349.2,0
349.4,0
349.6,0
349.8,0
350,0
350.2,0
350.4,0
350.6,0
350.8,0
351,0
351.2,0
351.4,0
351.6,0
351.8,0
352,0
352.2,0
352.4,0
352.6,0
352.8,0
353,0
353.2,0
353.4,0
353.6,0
353.8,0
354,0
354.2,0
354.4,0
354.6,0
354.8,0
355,0
355.2,0
355.4,0
355.6,0
355.8,0
356,0
356.2,0
356.4,0
356.6,0
356.8,0
357,0
357.2,0
357.4,0
357.6,0
357.8,0
358,0
358.2,0
358.4,0
358.6,0
358.8,0
359,0
359.2,0
359.4,0
359.6,0
359.8,0
360,0
360.2,0
360.4,0
360.6,0
360.8,0
361,0
361.2,0
361.4,0
361.6,0
361.8,0
362,0
362.2,0
362.4,0
362.6,0
362.8,0
363,0
363.2,0
363.4,0
363.6,0
363.8,0
364,0
364.2,0
364.4,0
364.6,0
364.8,0
365,0
365.2,0
365.4,0
365.6,0
365.8,0
366,0
366.2,0
366.4,0
366.6,0
366.8,0
367,0
367.2,0
367.4,0
367.6,0
367.8,0
368,0
368.2,0
368.4,0
368.6,0
368.8,0
369,0
369.2,0
369.4,0
369.6,0
369.8,0
370,0
370.2,0
370.4,0
370.6,0
370.8,0
371,0
371.2,0
371.4,0
371.6,0
371.8,0
372,0
372.2,0
372.4,0
372.6,0
372.8,0
373,0
373.2,0
373.4,0
373.6,0
373.8,0
374,0
374.2,0
374.4,0
374.6,0
374.8,0
375,0
375.2,0
375.4,0
375.6,0
375.8,0
376,0
376.2,0
376.4,0
376.6,0
376.8,0
377,0
377.2,0
377.4,0
377.6,0
377.8,0
378,0
378.2,0
378.4,0
378.6,0
378.8,0
379,0
379.2,0
379.4,0
379.6,0
379.8,0
380,0
380.2,0
380.4,0
380.6,0
380.8,0
381,0
381.2,0
381.4,0
381.6,0
381.8,0
382,0
382.2,0
382.4,0
382.6,0
382.8,0
383,0
383.2,0
383.4,0
383.6,0
383.8,0
384,0
384.2,0
384.4,0
384.6,0
384.8,0
385,0
385.2,0
385.4,0
385.6,0
385.8,0
386,0
386.2,0
386.4,0
386.6,0
386.8,0
387,0
387.2,0
387.4,0
387.6,0
387.8,0
388,0
388.2,0
388.4,0
388.6,0
388.8,0
389,0
389.2,0
389.4,0
389.6,0
389.8,0
390,0
390.2,0
390.4,0
390.6,0
390.8,0
391,0
391.2,0
391.4,0
391.6,0
391.8,0
392,0
392.2,0
392.4,0
392.6,0
392.8,0
393,0
393.2,0
393.4,0
393.6,0
393.8,0
394,0
394.2,0
394.4,0
394.6,0
394.8,0
395,0
395.2,0
395.4,0
395.6,0
395.8,0
396,0
396.2,0
396.4,0
396.6,0
396.8,0
397,0
397.2,0
397.4,0
397.6,0
397.8,0
398,0
398.2,0
398.4,0
398.6,0
398.8,0
399,0
399.2,0
399.4,0
399.6,0
399.8,0
400,0
400.2,0
400.4,0
400.6,0
400.8,0
401,0
401.2,0
401.4,0
401.6,0
401.8,0
402,0
402.2,0
402.4,0
402.6,0
402.8,0
403,0
403.2,0
403.4,0
403.6,0
403.8,0
404,0
404.2,0
404.4,0
404.6,0
404.8,0
405,0
405.2,0
405.4,0
405.6,0
405.8,0
406,0
406.2,0
406.4,0
406.6,0
406.8,0
407,0
407.2,0
407.4,0
407.6,0
407.8,0
408,0
408.2,0
408.4,0
408.6,0
408.8,0
409,0
409.2,0
409.4,0
409.6,0
409.8,0
410,0
410.2,0
410.4,0
410.6,0
410.8,0
411,0
411.2,0
411.4,0
411.6,0
411.8,0
412,0
412.2,0
412.4,0
412.6,0
412.8,0
413,0
413.2,0
413.4,0
413.6,0
413.8,0
414,0
414.2,0
